"dataset_id","n_abnj","n_all"
"125a4c4f-eb01-4c13-b8e6-07aea9af8480",0,471
"127b85e6-bedd-47cb-97f0-fb0f0348b83a",0,550
"12845d63-2db6-4b91-a313-2ca4535e34d8",0,109
"12a7279f-9212-494b-87a9-1acee31a480e",164,947
"12a9b8a9-845a-4dba-8f64-6a6fe48cfe44",0,41758
"12acbce5-cb41-48c4-bd80-6030b0f0a83f",0,15597
"12fe3b99-03e6-4a55-83b7-02c03af7c1ec",690,690
"130bab3d-5d88-47ee-b19c-307e8f113ed1",4,509
"132078ef-176b-4825-b5d3-2a7592ed913e",0,376
"132ab7ea-1b4b-46ea-8f5f-6b8da98db2be",0,24357
"133fe4f5-dfd6-4ce3-ba51-2dbbf982342d",16,2000
"136ed188-9e93-4db5-9471-d5d4d58e0183",0,9
"139db389-055f-477b-a743-1ca1fd01c092",7,16006
"13abd5c3-ed8c-494c-9121-486484c8b63c",0,53
"13cd2cbd-f6f6-4e2a-94f9-f5ab6f30bb57",0,15191
"13dd6d05-b0e9-4d48-a253-afe379c0f4a7",0,23
"13edfad1-54eb-486e-9711-f9e9eb01eb1a",8,2000
"13ff4ab7-0427-4a2f-8d9e-ed89f65d5120",0,185
"140dcbab-d94c-48d5-94aa-221190cfbbb9",0,1500
"1418786c-0a73-464b-be4b-743a021078bc",6,12370
"14242931-d643-4f29-a505-4d8eab59751b",116,177
"143e83d6-a818-4ac4-9909-146009f0fd0d",0,3275
"14408cc8-5d37-46d1-91a9-d838fc339ff9",5312,174191
"1462deb4-447f-4930-a2fa-cd8a76420496",0,11
"14661428-e562-4259-8a1d-377544eeb75b",0,530
"14cd468e-7242-42a7-87f9-c76818bee034",0,15
"14e60499-f05b-4920-99da-99bbf6f1a0d6",0,120
"14e7ad72-5548-4c5b-a025-3c1210ec81fc",0,2
"14fa3c3e-259c-4af9-9314-eee1dc3a119b",0,22262
"152259dc-9c20-4c1a-9644-8e4b509d4f73",0,14061
"153c983e-58a0-408d-8385-6226b67fcad1",0,36
"153f8079-a5b2-42aa-85af-f2cd72801a2e",0,860
"155baf8b-64f7-45b6-b713-a081f65af51b",0,158
"15700106-b0f0-4134-b3d4-4d48acce406a",91178,233532
"159421b6-a764-4af1-9cc3-bc652dbeb12e",1108,1779
"15a472fb-485d-4b1a-b79a-794975dbef60",0,1849
"15f11e0d-44ec-4cb0-97cf-d2098b72e3a7",0,5166
"15f28072-6c6a-494e-a080-cc2cad03bc2f",0,82
"161733d6-2860-4f59-865a-49795b2202ae",78,885
"1618356f-0f62-4cbb-9252-005120e31fb0",0,898
"1618ada2-606b-4b4e-83ec-f00cfaa8cef2",126,887
"162aa046-c8c0-46b8-8600-23fd93a0acc0",0,872
"1639af0c-dd65-488a-b3d1-31792ecd4dfc",0,7419
"16434578-ebf7-4bcc-a776-508ffece76de",0,6445
"1643c554-27ef-46b8-a0f7-c0353cbf5fde",0,614
"16510183-66c1-4a7d-a152-cad8f1379a8b",0,14
"165b0831-9538-4cad-85f7-76ffda03fa3b",0,453
"16730e9a-c68c-4552-925b-df76c6cd7269",0,9204
"16850343-e35b-4a31-bcfb-2eca8328f2d8",0,3740
"16c29553-c90b-4865-8d45-55de3286b4e0",323,164366
"16d777d9-156a-477d-b9da-100fc433d43b",0,3409
"16d92f0c-536c-45e8-9068-c2c0458ee87b",0,19039
"16ddcdde-86d8-4b53-8305-7de016c0d201",0,3
"16e6c6df-25d3-4471-93e7-acfef7e7dcc9",42,422150
"16e83922-555b-47bf-8c67-1171dec70b77",0,54
"16f543b9-df51-4164-970e-aafb8878fbce",0,499
"1701dd73-9a96-48c8-9049-e5b1ca3c6993",0,36420
"170af803-1308-42ea-84cf-5ec938a32866",584,6994
"17493494-2170-4e2d-bc37-d1c7334c6521",0,682
