"dataset_id","dataset_title","dataset_url","dataset_records","organization","organization_oceanexpert_id","organization_oceanexpert_typeid","organization_oceanexpert_typename","type_display","givenname","surname"
"f1a11336-64b8-46f4-ba10-5095d150039f","DFO Newfoundland and Labrador Region Ecosystem Trawl Surveys","http://ipt.iobis.org/obiscanada/resource?r=dfo_nl_groundfish",82182,,,,,"Point Of Contact",,"NAFC"
"f1a11336-64b8-46f4-ba10-5095d150039f","DFO Newfoundland and Labrador Region Ecosystem Trawl Surveys","http://ipt.iobis.org/obiscanada/resource?r=dfo_nl_groundfish",82182,,,,,"Associated Party",,
"f1a11336-64b8-46f4-ba10-5095d150039f","DFO Newfoundland and Labrador Region Ecosystem Trawl Surveys","http://ipt.iobis.org/obiscanada/resource?r=dfo_nl_groundfish",82182,"Fisheries and Oceans Canada",9838,3,"Government","Contact","Debbie","Power"
"f1a11336-64b8-46f4-ba10-5095d150039f","DFO Newfoundland and Labrador Region Ecosystem Trawl Surveys","http://ipt.iobis.org/obiscanada/resource?r=dfo_nl_groundfish",82182,"Fisheries and Oceans Canada",9838,3,"Government","Creator","Debbie","Power"
"f1a11336-64b8-46f4-ba10-5095d150039f","DFO Newfoundland and Labrador Region Ecosystem Trawl Surveys","http://ipt.iobis.org/obiscanada/resource?r=dfo_nl_groundfish",82182,"Fisheries and Oceans Canada",9838,3,"Government","Metadata Provider","Fran","Mowbray"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL","http://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Antarctic Biodiversity Information Facility (ANTABIF)",19457,7,"International / Intergovernmental","Metadata Provider","Anton","Van de Putte"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL","http://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Natural Environment Research Council; British Antarctic Survey",5163,2,"Research","Creator","Angus","Atkinson"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL","http://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Thünen Institute of Sea Fisheries",15531,3,"Government","Content Provider","Volker","Siegel"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL","http://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Thünen Institute of Sea Fisheries",15531,3,"Government","Contact","Volker","Siegel"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL","http://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Commission for the Conservation of Antarctic Marine Living Resources",19300,7,"International / Intergovernmental","Custodian Steward","David","Ramm"
"ac6af23f-460b-469e-a29f-7bbd0bb48bf1","CCAMLR historic KRILL","https://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Antarctic Biodiversity Information Facility (ANTABIF)",19457,7,"International / Intergovernmental","Metadata Provider","Anton","Van de Putte"
"ac6af23f-460b-469e-a29f-7bbd0bb48bf1","CCAMLR historic KRILL","https://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Natural Environment Research Council; British Antarctic Survey",5163,2,"Research","Creator","Angus","Atkinson"
"ac6af23f-460b-469e-a29f-7bbd0bb48bf1","CCAMLR historic KRILL","https://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Thünen Institute of Sea Fisheries",15531,3,"Government","Content Provider","Volker","Siegel"
"ac6af23f-460b-469e-a29f-7bbd0bb48bf1","CCAMLR historic KRILL","https://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Thünen Institute of Sea Fisheries",15531,3,"Government","Contact","Volker","Siegel"
"ac6af23f-460b-469e-a29f-7bbd0bb48bf1","CCAMLR historic KRILL","https://ipt.biodiversity.aq/resource?r=historic_krill",61942,"Commission for the Conservation of Antarctic Marine Living Resources",19300,7,"International / Intergovernmental","Custodian Steward","David","Ramm"
"89e23fc8-3f61-4480-9de3-358fe6eefe0b","National Museum of Natural History Invertebrate Zoology Collections","http://ipt.obis.org/nonode/resource?r=nmnh-iz",57320,"Smithsonian Institution; National Museum of Natural History; Department of Invertebrate Zoology (IZ)",7553,3,"Government","Custodian Steward","Cheryl","Bright"
"89e23fc8-3f61-4480-9de3-358fe6eefe0b","National Museum of Natural History Invertebrate Zoology Collections","http://ipt.obis.org/nonode/resource?r=nmnh-iz",57320,"Smithsonian Institution; National Museum of Natural History Department of Invertebrate Zoology (NMNM-IZ)",7553,3,"Government","Creator",,
"89e23fc8-3f61-4480-9de3-358fe6eefe0b","National Museum of Natural History Invertebrate Zoology Collections","http://ipt.obis.org/nonode/resource?r=nmnh-iz",57320,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental","Contact",,"OBIS Secretariat"
"89e23fc8-3f61-4480-9de3-358fe6eefe0b","National Museum of Natural History Invertebrate Zoology Collections","http://ipt.obis.org/nonode/resource?r=nmnh-iz",57320,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental","Metadata Provider",,"OBIS Secretariat"
"3d9cba1d-9b12-4ea6-9ab1-5fb12664c66f","NOAAs Southeast Fishery Science Center (SEFSC) Fisheries Log Book System (FLS) Commercial Pelagic Logbook Data","http://ipt.obis.org/nonode/resource?r=sefsc_logbook",55049,"National Oceanic and Atmospheric Administration; National Marine Fisheries Service Southeast Fisheries Science Center (NOAA-SEFSC)",,,,"Creator",,
"3d9cba1d-9b12-4ea6-9ab1-5fb12664c66f","NOAAs Southeast Fishery Science Center (SEFSC) Fisheries Log Book System (FLS) Commercial Pelagic Logbook Data","http://ipt.obis.org/nonode/resource?r=sefsc_logbook",55049,"Federal Government of the United States of America; Department of Commerce; National Oceanic and Atmospheric Administration; National Marine Fisheries Service; Southeast Fisheries Science Center (SEFSC)",,,,"Contact","Guillermo","Diaz"
"3d9cba1d-9b12-4ea6-9ab1-5fb12664c66f","NOAAs Southeast Fishery Science Center (SEFSC) Fisheries Log Book System (FLS) Commercial Pelagic Logbook Data","http://ipt.obis.org/nonode/resource?r=sefsc_logbook",55049,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental","Metadata Provider",,"OBIS Secretariat"
"7aee17f1-d6e8-4204-a4b2-eafdf89563cf","NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data","http://ipt.obis.org/nonode/resource?r=sefsc_pop",53000,"National Oceanic and Atmospheric Administration; National Marine Fisheries Service Southeast Fisheries Science Center (NOAA-SEFSC)",,,,"Creator",,
"7aee17f1-d6e8-4204-a4b2-eafdf89563cf","NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data","http://ipt.obis.org/nonode/resource?r=sefsc_pop",53000,"Federal Government of the United States of America; Department of Commerce; National Oceanic and Atmospheric Administration; National Marine Fisheries Service; Southeast Fisheries Science Center (SEFSC)",,,,"Contact","Guillermo","Diaz"
"7aee17f1-d6e8-4204-a4b2-eafdf89563cf","NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data","http://ipt.obis.org/nonode/resource?r=sefsc_pop",53000,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental","Metadata Provider",,"OBIS Secretariat"
"56e55f76-6dda-403d-805b-f8922fa1766d","Taxonomically comprehensive assessment of biodiversity of animal plankton throughout the world ocean","http://ipt.obis.org/nonode/resource?r=cmarz",50096,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental","Creator",,"OBIS Secretariat"
"56e55f76-6dda-403d-805b-f8922fa1766d","Taxonomically comprehensive assessment of biodiversity of animal plankton throughout the world ocean","http://ipt.obis.org/nonode/resource?r=cmarz",50096,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental","Metadata Provider",,"OBIS Secretariat"
