"id","title","records","institute","oceanexpert_id","typeid","type"
"f3c02ebd-f672-4787-ae0b-92263041cf0d","PANGAEA - Data from South Atlantic in the late Quaternary: reconstruction of budget and currents",23647,"Flanders Marine Institute (VLIZ)",NA,NA,NA
"d9148b5e-251e-4ea0-b36f-80c7837c55d4","Weddell Seal Sightings, Vestfold Hills, Antarctica",20987,"Australian Antarctic Division",5028,3,"Government"
"d9148b5e-251e-4ea0-b36f-80c7837c55d4","Weddell Seal Sightings, Vestfold Hills, Antarctica",20987,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"d9148b5e-251e-4ea0-b36f-80c7837c55d4","Weddell Seal Sightings, Vestfold Hills, Antarctica",20987,"Australian Antarctic Division (AAD)",NA,NA,NA
"d9148b5e-251e-4ea0-b36f-80c7837c55d4","Weddell Seal Sightings, Vestfold Hills, Antarctica",20987,"Australian Antarctic Division; Australian Antarctic Data Centre",NA,NA,NA
"6cd4445d-5d99-420b-98bf-2649b6731f0c","PANGAEA - Data from Tübingen University",20947,"Vlaams Instituut voor de Zee",6223,3,"Government"
"6cd4445d-5d99-420b-98bf-2649b6731f0c","PANGAEA - Data from Tübingen University",20947,"Eberhard Karls University of Tübingen",NA,NA,NA
"6cd4445d-5d99-420b-98bf-2649b6731f0c","PANGAEA - Data from Tübingen University",20947,"Flanders Marine Institute (VLIZ)",NA,NA,NA
"17ce69d0-2504-4ae3-bc87-16b096863f51","Archives of the Arctic Seas Zooplankton",20341,"University of Alaska Fairbanks - School of Fisheries and Oceans",12745,1,"Academic"
"51391fb1-ae4d-44d8-9178-a06f95545604","CWS-EC Eastern Canada Seabirds at Sea (ECSAS)",19224,"Christian-Albrechts Universität zu Kiel",17939,1,"Academic"
"51391fb1-ae4d-44d8-9178-a06f95545604","CWS-EC Eastern Canada Seabirds at Sea (ECSAS)",19224,"Canadian Wildlife Service - Atlantic Region",19284,3,"Government"
"51391fb1-ae4d-44d8-9178-a06f95545604","CWS-EC Eastern Canada Seabirds at Sea (ECSAS)",19224,"Canadian Wildlife Service - Quebec Region",19285,3,"Government"
"51391fb1-ae4d-44d8-9178-a06f95545604","CWS-EC Eastern Canada Seabirds at Sea (ECSAS)",19224,"Environment Canada - Canadian Wildlife Service",NA,NA,NA
"51391fb1-ae4d-44d8-9178-a06f95545604","CWS-EC Eastern Canada Seabirds at Sea (ECSAS)",19224,"Canadian Wildlife Service",NA,NA,NA
